,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,S,C,Q
0,0,3,-0.5,22.0,1,0,7.25,1,0,0
1,1,1,0.5,38.0,1,0,71.2833,0,1,0
2,1,3,0.5,26.0,0,0,7.925,1,0,0
3,1,1,0.5,35.0,1,0,53.1,1,0,0
4,0,3,-0.5,35.0,0,0,8.05,1,0,0
6,0,1,-0.5,54.0,0,0,51.8625,1,0,0
7,0,3,-0.5,2.0,3,1,21.075,1,0,0
8,1,3,0.5,27.0,0,2,11.1333,1,0,0
9,1,2,0.5,14.0,1,0,30.0708,0,1,0
10,1,3,0.5,4.0,1,1,16.7,1,0,0
11,1,1,0.5,58.0,0,0,26.55,1,0,0
12,0,3,-0.5,20.0,0,0,8.05,1,0,0
13,0,3,-0.5,39.0,1,5,31.275,1,0,0
14,0,3,0.5,14.0,0,0,7.8542,1,0,0
15,1,2,0.5,55.0,0,0,16.0,1,0,0
16,0,3,-0.5,2.0,4,1,29.125,0,0,1
18,0,3,0.5,31.0,1,0,18.0,1,0,0
20,0,2,-0.5,35.0,0,0,26.0,1,0,0
21,1,2,-0.5,34.0,0,0,13.0,1,0,0
22,1,3,0.5,15.0,0,0,8.0292,0,0,1
23,1,1,-0.5,28.0,0,0,35.5,1,0,0
24,0,3,0.5,8.0,3,1,21.075,1,0,0
25,1,3,0.5,38.0,1,5,31.3875,1,0,0
27,0,1,-0.5,19.0,3,2,263.0,1,0,0
30,0,1,-0.5,40.0,0,0,27.7208,0,1,0
33,0,2,-0.5,66.0,0,0,10.5,1,0,0
34,0,1,-0.5,28.0,1,0,82.1708,0,1,0
35,0,1,-0.5,42.0,1,0,52.0,1,0,0
37,0,3,-0.5,21.0,0,0,8.05,1,0,0
38,0,3,0.5,18.0,2,0,18.0,1,0,0
39,1,3,0.5,14.0,1,0,11.2417,0,1,0
40,0,3,0.5,40.0,1,0,9.475,1,0,0
